name
American Indian or Alaskan Native
Asian
Australia
Black or African American
Brazil
Britain
Bulgaria
Canada
Caucasian
China
France
Hispanic or Latino
Hong Kong
India
Israel
Italy
Japan
Korea
Macau
Malaysia
Multi-ethnic
Native Hawaiian or Other Pacific Islander
New Zealand
Not Specified or Other
Philippines
Portugal
Russia
Singapore
South Africa
Spain
Taiwan
United Kingdom
USA
Vietnam
