1,,TLC Dongguan,"Trinity Learning Center - Dongguan, China",,,,,,,
2,,TLC Palawan,"Trinity Learning Center - Palawan, Philippines",,,,,,,
3,,KinderCare,"KinderCare Kindergarten - Dongguan, China",,,,,,,
