1,,Foreign,Those employees who hold a foreign passport or have been classified as a foreign employee.,10000,2000,0,0,1,,,,,,,
2,,Local,Those employees who are Chinese nationals or have been classified as local employees.,3000,800,50,344,0,,,,,,,
