1,,Office,Office Space,,,,,,,
2,,Storage,Storage Room or Closet,,,,,,,
3,,Technical,IT or Utility Closet,,,,,,,
4,,Classroom,Classroom,,,,,,,
5,,Workroom,Teacher or Office Workroom,,,,,,,
6,,Conference Room,Conference Room,,,,,,,
7,,Cafeteria,Cafeteria or Kitchen Area,,,,,,,
8,,Auditorium,Student Auditorium,,,,,,,
9,,Library,Library,,,,,,,
10,,Computer Lab,Computer Lab,,,,,,,
