1,,Elementary,1,,,,,,,
2,,Secondary,1,,,,,,,
3,,Middle,1,,,,,,,
4,,Early Childhood,1,,,,,,,
5,,School-Wide,1,,,,,,,
7,,Early Childhood,2,,,,,,,
9,,School-Wide,2,,,,,,,
6,,Elementary,3,,,,,,,
8,,Early Childhood,3,,,,,,,
10,,School-Wide,3,,,,,,,
